Title,Year,Release Date,Imbibed,Completed,Favorite
A Christmas Story,1983,11/18/1983 00:00,TRUE,,
A Clockwork Orange,1971,12/19/1971 00:00,TRUE,,
A Close Shave,1996,03/07/1996 00:00,,,
A Cure for Wellness,2017,02/15/2017 00:00,,,
A Disney Christmas Gift,1983,12/4/1982 00:00,,,
A Few Good Men,1992,12/11/1992 00:00,TRUE,,
A Fish Called Wanda,1988,07/15/1988 00:00,,,
A Fistful of Dollars,1964,09/12/1964 00:00,,,
A Ghost Story,2017,04/24/2017 00:00,,,
A Good Day to Die Hard,2013,02/06/2013 00:00,TRUE,,
A Goofy Movie,1995,04/07/1995 00:00,,,
A Grand Day Out,1990,05/18/1990 00:00,TRUE,,
A Guy Named Joe,1943,12/24/1943 00:00,,,
A Hidden Life,2019,08/27/2019 00:00,,,
A History of Violence,2005,09/23/2005 00:00,,,
A Knight's Tale,2001,05/11/2001 00:00,TRUE,,
A League of Their Own,1992,07/01/1992 00:00,,,
A Letter to Momo,2012,04/21/2012 00:00,,,
A Man Called Sarge,1990,02/02/1990 00:00,,,
A Matter of Life and Death,1946,12/15/1946 00:00,,,
A Matter of Loaf and Death,2008,12/26/2008 00:00,TRUE,,
A Mighty Wind,2003,04/16/2003 00:00,,,
A Most Violent Year,2014,12/31/2014 00:00,,,
A Most Wanted Man,2014,07/25/2014 00:00,,,
A Murder of Crows,1999,07/06/1999 00:00,,,
A Night at the Opera,1935,11/15/1935 00:00,,,
A Night at the Roxbury,1998,10/01/1998 00:00,TRUE,,
A Nightmare on Elm Street,1984,11/09/1984 00:00,,,
A Nightmare on Elm Street,2010,04/30/2010 00:00,,,
A Nightmare on Elm Street 3: Dream Warriors,1987,02/27/1987 00:00,,,
A Nightmare on Elm Street 4: The Dream Master,1988,08/19/1988 00:00,,,
A Nightmare on Elm Street 5: The Dream Child,1989,08/11/1989 00:00,,,
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,11/01/1985 00:00,,,
A Private War,2018,11/16/2018 00:00,,,
A Quiet Place,2018,04/03/2018 00:00,TRUE,,
A Quiet Place Part II,2021,05/21/2021 00:00,TRUE,,
A Return to Salem's Lot,1987,09/11/1987 00:00,,,
A River Runs Through It,1992,10/09/1992 00:00,,,
A Scanner Darkly,2006,07/07/2006 00:00,TRUE,,
A Score to Settle,2019,08/01/2019 00:00,,,
A Shaun the Sheep Movie: Farmageddon,2019,09/26/2019 00:00,TRUE,,
A Silent Voice: The Movie,2016,09/17/2016 00:00,,,
A Simple Plan,1998,12/11/1998 00:00,,,
A Star Is Born,1937,04/27/1937 00:00,,,
A Star Is Born,1976,12/17/1976 00:00,,,
A Star Is Born,2018,10/03/2018 00:00,,,
A Star Is Born,1954,10/01/1954 00:00,,,
A Streetcar Named Desire,1951,09/19/1951 00:00,,,
A Time to Kill,1996,07/24/1996 00:00,,,
A Touch of Zen,1970,07/10/1970 00:00,,,
A Very Murray Christmas,2015,12/04/2015 00:00,,,
A View to a Kill,1985,05/24/1985 00:00,TRUE,,
A Walk Among the Tombstones,2014,09/18/2014 00:00,,,
A Wind Named Amnesia,1990,12/22/1990 00:00,,,
A Writer's Odyssey,2021,02/12/2021 00:00,,,
A.I. Artificial Intelligence,2001,06/29/2001 00:00,TRUE,,
Abbott and Costello Meet the Mummy,1955,06/23/1955 00:00,,,
Abigail,2024,04/16/2024 00:00,,,
Abigail,2019,11/22/2019 00:00,TRUE,,
About a Boy,2002,04/26/2002 00:00,,,
About Schmidt,2002,12/12/2002 00:00,,,
About Time,2013,09/04/2013 00:00,,,
Above Majestic,2018,10/30/2018 00:00,,,
Above the Law,1988,04/08/1988 00:00,,,
Above the Rim,1994,03/23/1994 00:00,,,
Abraham Lincoln: Vampire Hunter,2012,06/20/2012 00:00,TRUE,,
"Abraxas, Guardian of the Universe",1990,12/18/1990 00:00,,,
Absence of Malice,1981,11/19/1981 00:00,,,
Accepted,2006,08/18/2006 00:00,TRUE,,
Ace Ventura: Pet Detective,1994,02/04/1994 00:00,TRUE,,
Ace Ventura: When Nature Calls,1995,11/10/1995 00:00,TRUE,,
Across the Universe,2007,09/14/2007 00:00,,,
Act of Valor,2012,02/24/2012 00:00,,,
Ad Astra,2019,09/17/2019 00:00,,,
Adam Sandler: 100% Fresh,2018,10/23/2018 00:00,,,
Adaptation.,2002,12/06/2002 00:00,,,
Addams Family Values,1993,11/19/1993 00:00,TRUE,,
Adventures of Rufus: The Fantastic Pet,2021,04/22/2021 00:00,,,
Afire,2023,04/20/2023 00:00,,,
Africa Blood and Guts,1966,02/11/1966 00:00,,,
After Earth,2013,05/30/2013 00:00,TRUE,,
After the Storm,2016,05/21/2016 00:00,,,
Age of Uprising: The Legend of Michael Kohlhaas,2013,08/14/2013 00:00,,,
Agora,2009,05/17/2009 00:00,,,
"Aguirre, the Wrath of God",1972,12/29/1972 00:00,,,
Air Force One,1997,07/25/1997 00:00,TRUE,,
Airplane!,1980,07/02/1980 00:00,,,
Ajin: Demi-Human,2017,09/30/2017 00:00,,,
Akira,1988,06/10/1988 00:00,,,
Aladdin,1992,11/25/1992 00:00,TRUE,,
Aladdin and the King of Thieves,1996,05/20/1996 00:00,,,
Alex's War,2022,07/29/2022 00:00,,,
Alexander,2004,11/21/2004 00:00,TRUE,,
Alexander the Great,1956,03/28/1956 00:00,,,
Ali Baba and the Forty Thieves,1944,01/14/1944 00:00,,,
Ali G Indahouse,2002,03/21/2002 00:00,,,
Alice in Wonderland,2010,03/03/2010 00:00,TRUE,,
Alice in Wonderland,1951,07/28/1951 00:00,TRUE,,
Alice Through the Looking Glass,2016,05/25/2016 00:00,,,
Alien,1979,05/25/1979 00:00,TRUE,,
Alien 3,1992,05/22/1992 00:00,TRUE,,
Alien Hunter,2003,07/19/2003 00:00,,,
Alien Nation,1988,10/07/1988 00:00,,,
Alien Resurrection,1997,11/12/1997 00:00,TRUE,,
Alien: Covenant,2017,05/09/2017 00:00,,,
Alienoid,2022,07/20/2022 00:00,,,
Aliens,1986,07/18/1986 00:00,TRUE,,
Aliens vs Predator: Requiem,2007,12/25/2007 00:00,TRUE,,
Alita: Battle Angel,2019,01/31/2019 00:00,TRUE,,
All About Eve,1950,11/09/1950 00:00,,,
All Cheerleaders Die,2013,10/31/2013 00:00,TRUE,,
All Dogs Go to Heaven,1989,11/17/1989 00:00,,,
All of Me,1984,09/21/1984 00:00,,,
All Quiet on the Western Front,1930,04/29/1930 00:00,,,
All Quiet on the Western Front,2022,10/07/2022 00:00,,,
All Quiet on the Western Front,1979,11/14/1979 00:00,,,
All Star Superman,2011,08/25/2020 01:56,,,
All the Money in the World,2017,12/21/2017 00:00,,,
All the President's Men,1976,04/09/1976 00:00,,,
Allegiant,2016,03/09/2016 00:00,,,
Allied,2016,11/23/2016 00:00,,,
Almost Famous,2000,09/15/2000 00:00,,,
Almost Heroes,1998,05/29/1998 00:00,TRUE,,
Alone in the Dark,1982,11/12/1982 00:00,,,
Along Came Jones,1945,07/19/1945 00:00,,,
Alpha,2018,08/17/2018 00:00,,,
Altered Carbon: Resleeved,2020,03/19/2020 00:00,TRUE,,
Always,1989,12/22/1989 00:00,,,
Always Be My Maybe,2019,05/31/2019 00:00,,,
Amadeus,1984,09/19/1984 00:00,TRUE,,
Ambulance,2022,03/16/2022 00:00,TRUE,,
American Beauty,1999,09/15/1999 00:00,,,
American Factory,2019,08/21/2019 00:00,,,
American Fighter,2020,10/16/2020 00:00,,,
American Gangster,2007,11/02/2007 00:00,,,
American Graffiti,1973,08/11/1973 00:00,,,
American History X,1998,07/01/1998 00:00,,,
American Hustle,2013,12/03/2013 00:00,,,
American Made,2017,08/18/2017 00:00,,,
American Me,1992,03/13/1992 00:00,TRUE,,
American Movie,1999,11/05/1999 00:00,,,
American Ninja,1985,08/30/1985 00:00,,,
American Pie,1999,07/09/1999 00:00,TRUE,,
American Psycho,2000,04/13/2000 00:00,TRUE,,
American Sniper,2014,12/25/2014 00:00,,,
American Ultra,2015,08/19/2015 00:00,,,
Amistad,1997,12/10/1997 00:00,,,
Amores Perros,2000,06/16/2000 00:00,,,
Amélie,2001,04/25/2001 00:00,,,
An American in Paris,1951,09/26/1951 00:00,,,
An American Story,1992,11/29/1992 00:00,,,
An American Tail,1986,11/21/1986 00:00,,,
An American Tail: Fievel Goes West,1991,11/21/1991 00:00,,,
An American Werewolf in London,1981,08/21/1981 00:00,,,
An American Werewolf in Paris,1997,05/29/1997 00:00,,,
An Extremely Goofy Movie,2000,02/29/2000 00:00,,,
An Officer and a Gentleman,1982,07/28/1982 00:00,,,
Anaconda,1997,04/11/1997 00:00,TRUE,,
Analyze That,2002,12/06/2002 00:00,TRUE,,
Analyze This,1999,03/05/1999 00:00,TRUE,,
Anastasia,1956,12/13/1956 00:00,,,
Anastasia,1997,11/20/1997 00:00,,,
Anatomy of a Murder,1959,07/01/1959 00:00,,,
Anchorman 2: The Legend Continues,2013,12/18/2013 00:00,TRUE,,
Anchorman: The Legend of Ron Burgundy,2004,06/28/2004 00:00,TRUE,,
Andrei Rublev,1966,12/16/1966 00:00,TRUE,,
Angel's Egg,1985,12/22/1985 00:00,,,
Angels & Demons,2009,04/20/2009 00:00,TRUE,,
Angels in the Outfield,1994,07/15/1994 00:00,,,
Angels in the Outfield,1951,10/19/1951 00:00,,,
Angels with Dirty Faces,1938,11/26/1938 00:00,,,
Anger Management,2003,04/11/2003 00:00,TRUE,,
Animal Crossing: The Movie,2006,12/16/2006 00:00,,,
Animal Farm,1954,12/28/1954 00:00,,,
Animal Farm,1999,10/03/1999 00:00,TRUE,,
Animal House,1978,07/28/1978 00:00,,,
Animal Kingdom,2010,06/03/2010 00:00,,,
Animal World,2018,06/29/2018 00:00,TRUE,,
Anna and the King,1999,12/16/1999 00:00,TRUE,,
Anna Karenina,2012,09/06/2012 00:00,TRUE,,
Annabelle,2014,10/02/2014 00:00,,,
Annette,2021,07/07/2021 00:00,,,
Annie,1982,05/21/1982 00:00,,,
Annie Hall,1977,04/19/1977 00:00,,,
Annihilation,2018,02/22/2018 00:00,TRUE,,
Anonymous,2011,10/21/2011 00:00,,,
Another Earth,2011,07/22/2011 00:00,TRUE,,
Another Stakeout,1993,07/22/1993 00:00,,,
Ant-Man,2015,07/14/2015 00:00,TRUE,,
Ant-Man and the Wasp,2018,07/04/2018 00:00,TRUE,,
Anthropoid,2016,08/12/2016 00:00,,,
Antitrust,2001,01/11/2001 00:00,,,
Antlers,2021,10/28/2021 00:00,,,
Antony and Cleopatra,1972,03/18/1972 00:00,,,
Antz,1998,10/02/1998 00:00,TRUE,,
Any Given Sunday,1999,12/22/1999 00:00,,,
Anyone But You,2023,12/21/2023 00:00,,,
Apocalypse Now,1979,05/19/1979 00:00,TRUE,,
Apocalypto,2006,12/07/2006 00:00,TRUE,,
Apollo 11,2019,03/01/2019 00:00,TRUE,,
Apollo 13,1995,06/30/1995 00:00,TRUE,,
Apollo 18,2011,07/20/2011 00:00,,,
Appaloosa,2008,09/19/2008 00:00,,,
Appleseed,2004,04/17/2004 00:00,,,
Appleseed,1988,04/20/1988 00:00,,,
Aquaman,2018,12/07/2018 00:00,TRUE,,
Arachnophobia,1990,07/20/1990 00:00,,,
Arctic,2018,11/21/2018 00:00,,,
Are You Amongst Them?,1954,04/23/2018 16:26,,,
Argo,2012,10/11/2012 00:00,TRUE,,
Argylle,2024,01/31/2024 00:00,,,
Arion,1986,03/15/1986 00:00,,,
Arizona,2018,08/24/2018 00:00,,,
Arlington Road,1999,03/19/1999 00:00,,,
Armageddon,1998,07/01/1998 00:00,TRUE,,
Army of Darkness,1992,10/31/1992 00:00,,,
Around the World in 80 Days,2004,06/16/2004 00:00,TRUE,,
Around the World in Eighty Days,1956,10/17/1956 00:00,,,
Arrival,2016,11/10/2016 00:00,,,
Art of Fighting,1993,12/23/1993 00:00,,,
Artemis Fowl,2020,05/29/2020 00:00,,,
Arthur,1981,07/17/1981 00:00,,,
Arthur & Merlin,2015,04/17/2015 00:00,,,
Arthur & Merlin: Knights of Camelot,2020,05/28/2020 00:00,,,
As Good as It Gets,1997,12/19/1997 00:00,,,
Ashens and the Polybius Heist,2020,11/19/2020 00:00,,,
Assassin's Creed,2016,12/21/2016 00:00,TRUE,,
Assassins,1995,10/06/1995 00:00,,,
Assault on Precinct 13,2005,01/19/2005 00:00,TRUE,,
Assault on Precinct 13,1976,10/08/1976 00:00,,,
Assault on Wall Street,2013,06/30/2013 00:00,TRUE,,
Assimilate,2019,05/24/2019 00:00,,,
Astral City: A Spiritual Journey,2010,09/03/2010 00:00,,,
Astro Boy,2009,10/15/2009 00:00,,,
At Eternity's Gate,2018,11/15/2018 00:00,,,
Atlantis: Milo's Return,2003,02/25/2003 00:00,,,
Atlantis: The Lost Empire,2001,06/02/2001 00:00,TRUE,,
Atlas Shrugged: Part I,2011,04/14/2011 00:00,TRUE,,
Atlas Shrugged: Part II,2012,10/12/2012 00:00,,,
Atlas Shrugged: Part III,2014,09/12/2014 00:00,,,
Atomic Blonde,2017,07/26/2017 00:00,TRUE,,
Attack,1956,09/19/1956 00:00,,,
Attack Force Z,1982,06/01/1982 00:00,,,
Attack of the Killer Tomatoes!,1978,10/04/1978 00:00,,,
Attenborough's Life That Glows,2016,05/09/2016 00:00,,,
Audition,2000,03/03/2000 00:00,,,
Austin Powers in Goldmember,2002,07/26/2002 00:00,TRUE,,
Austin Powers: International Man of Mystery,1997,05/02/1997 00:00,TRUE,,
Austin Powers: The Spy Who Shagged Me,1999,06/08/1999 00:00,TRUE,,
Avatar,2009,12/15/2009 00:00,TRUE,,
Avatar: The Way of Water,2022,12/14/2022 00:00,TRUE,,
Avengers: Age of Ultron,2015,04/22/2015 00:00,TRUE,,
Avengers: Endgame,2019,04/24/2019 00:00,TRUE,,
Avengers: Infinity War,2018,04/25/2018 00:00,TRUE,,
AVP: Alien vs. Predator,2004,08/12/2004 00:00,TRUE,,
Babe,1995,07/18/1995 00:00,TRUE,,
Babe: Pig in the City,1998,11/25/1998 00:00,,,
Babes in Toyland,1961,12/14/1961 00:00,,,
Babes in Toyland,1986,12/19/1986 00:00,,,
Babes in Toyland,1934,12/14/1934 00:00,,,
Baby Driver,2017,06/28/2017 00:00,TRUE,,
Babylon,2022,12/22/2022 00:00,TRUE,,
Babylon A.D.,2008,08/20/2008 00:00,TRUE,,
Bachelor Party,1984,06/29/1984 00:00,,,
Back to School,1986,06/13/1986 00:00,TRUE,,
Back to the Future,1985,07/03/1985 00:00,TRUE,,
Back to the Future Part II,1989,11/22/1989 00:00,TRUE,,
Back to the Future Part III,1990,05/25/1990 00:00,TRUE,,
Backdraft,1991,05/24/1991 00:00,,,
Bad Boys,1995,04/07/1995 00:00,,,
Bad Boys for Life,2020,01/15/2020 00:00,,,
Bad Boys II,2003,07/18/2003 00:00,,,
Bad Day at Black Rock,1955,01/13/1955 00:00,,,
Bad Lieutenant,1992,11/20/1992 00:00,,,
Bad Lieutenant: Port of Call - New Orleans,2009,09/11/2009 00:00,,,
Bad Santa,2003,11/26/2003 00:00,,,
Bad Teacher,2011,05/16/2011 00:00,,,
Bad Times at the El Royale,2018,10/04/2018 00:00,TRUE,,
Ballistic: Ecks vs. Sever,2002,09/20/2002 00:00,,,
Balls of Fury,2007,08/29/2007 00:00,TRUE,,
Balto,1995,12/22/1995 00:00,,,
Bambi,1942,08/14/1942 00:00,TRUE,,
Bambi II,2006,01/26/2006 00:00,,,
Bandit,2022,09/23/2022 00:00,,,
Bangkok Dangerous,2008,08/21/2008 00:00,,,
Banking on Bitcoin,2016,12/30/2016 00:00,,,
Baraka,1992,09/15/1992 00:00,,,
Barb & Star Go to Vista Del Mar,2021,03/29/2021 00:00,,,
Barbarella,1968,10/10/1968 00:00,,,
Barbershop,2002,04/01/2002 00:00,,,
Barbershop 2: Back in Business,2004,01/20/2004 00:00,,,
Barbershop: The Next Cut,2016,04/15/2016 00:00,,,
Barcelona,1994,07/29/1994 00:00,,,
Barefoot Gen,1983,07/21/1983 00:00,,,
Barefoot Gen 2,1986,06/14/1986 00:00,,,
Barry Lyndon,1975,12/18/1975 00:00,,,
Barton Fink,1991,08/01/1991 00:00,,,
BASEketball,1998,07/28/1998 00:00,,,
Basic,2003,03/28/2003 00:00,TRUE,,
Basic Instinct,1992,03/20/1992 00:00,,,
Bat Thumb,2001,01/01/2001 00:00,TRUE,,
Batman,1989,06/21/1989 00:00,,,
Batman & Robin,1997,06/20/1997 00:00,,,
Batman and Harley Quinn,2017,08/14/2017 00:00,,,
Batman and Superman: Battle of the Super Sons,2022,10/17/2022 00:00,,,
Batman Begins,2005,06/10/2005 00:00,TRUE,,
Batman Beyond: Return of the Joker,2000,12/12/2000 00:00,,,
Batman Forever,1995,06/16/1995 00:00,,,
Batman Ninja,2018,06/15/2018 00:00,,,
Batman Returns,1992,06/19/1992 00:00,,,
Batman v Superman: Dawn of Justice,2016,03/23/2016 00:00,,,
Batman vs Teenage Mutant Ninja Turtles,2019,03/31/2019 00:00,,,
Batman vs. Robin,2015,04/03/2015 00:00,,,
Batman: Assault on Arkham,2014,08/12/2014 00:00,,,
Batman: Bad Blood,2016,01/19/2016 00:00,,,
Batman: Gotham by Gaslight,2018,01/12/2018 00:00,,,
Batman: Gotham Knight,2008,07/08/2008 00:00,,,
Batman: Hush,2019,07/19/2019 00:00,,,
Batman: Mask of the Phantasm,1993,12/25/1993 00:00,,,
Batman: Soul of the Dragon,2021,01/12/2021 00:00,,,
"Batman: The Dark Knight Returns, Part 1",2012,08/21/2012 00:00,,,
"Batman: The Dark Knight Returns, Part 2",2013,01/03/2013 00:00,,,
Batman: The Doom That Came to Gotham,2023,03/10/2023 00:00,,,
Batman: The Killing Joke,2016,07/24/2016 00:00,,,
"Batman: The Long Halloween, Part One",2021,06/21/2021 00:00,,,
"Batman: The Long Halloween, Part Two",2021,07/26/2021 00:00,,,
Batman: Under the Red Hood,2010,07/27/2010 00:00,,,
Batman: Year One,2011,09/27/2011 00:00,,,
Battle Angel,1993,06/21/1993 00:00,,,
Battle for the Planet of the Apes,1973,06/15/1973 00:00,,,
Battle of Britain,1969,09/15/1969 00:00,,,
Battle Royale,2000,12/16/2000 00:00,,,
Battle: Los Angeles,2011,09/17/2011 00:00,TRUE,,
Battlefield Earth,2000,05/12/2000 00:00,,,
Battleship,2012,04/11/2012 00:00,TRUE,,
Battleship Potemkin,1925,12/24/1925 00:00,,,
Battlestar Galactica,1978,10/25/1978 00:00,,,
Baywatch,2017,05/25/2017 00:00,,,
Bean,1997,07/03/1997 00:00,TRUE,,
Beasts of No Nation,2015,09/11/2015 00:00,,,
Beau Geste,1966,09/02/1966 00:00,,,
Beautiful Creatures,2013,02/13/2013 00:00,TRUE,,
Beauty and the Beast,1991,10/22/1991 00:00,TRUE,,
Beauty and the Beast,1946,10/29/1946 00:00,,,
Beauty and the Beast: The Enchanted Christmas,1997,11/11/1997 00:00,,,
Bedazzled,2000,10/19/2000 00:00,,,
Bedazzled,1967,10/30/1967 00:00,,,
Bedknobs and Broomsticks,1971,10/07/1971 00:00,,,
Bee Movie,2007,10/28/2007 00:00,TRUE,,
Beethoven,1992,04/03/1992 00:00,,,
Beetlejuice,1988,03/30/1988 00:00,TRUE,,
Behind Enemy Lines,2001,11/30/2001 00:00,,,
Being John Malkovich,1999,10/29/1999 00:00,TRUE,,
Belle,2013,05/01/2013 00:00,,,
Belle,2021,07/16/2021 00:00,,,
Belle's Magical World,1998,02/16/1998 00:00,,,
Ben-Hur,1959,11/18/1959 00:00,,,
Bend It Like Beckham,2002,04/11/2002 00:00,TRUE,,
Beneath the Planet of the Apes,1970,04/23/1970 00:00,,,
Beowulf,2007,11/05/2007 00:00,TRUE,,
Bernie,2012,04/27/2012 00:00,TRUE,,
Best F(r)iends: Volume 1,2017,09/04/2017 00:00,,,
Best F(r)iends: Volume 2,2018,06/01/2018 00:00,,,
Best in Show,2000,09/19/2000 00:00,TRUE,,
Best Seller,1987,09/25/1987 00:00,TRUE,,
Better Left Unsaid,2021,04/02/2021 00:00,,,
Beverly Hills Cop,1984,12/05/1984 00:00,TRUE,,
Beverly Hills Cop II,1987,05/18/1987 00:00,,,
Beverly Hills Cop III,1994,05/24/1994 00:00,,,
Beverly Hills Ninja,1997,01/17/1997 00:00,TRUE,,
Beware! The Blob,1972,06/21/1972 00:00,,,
Bicentennial Man,1999,12/17/1999 00:00,TRUE,,
Big,1988,06/03/1988 00:00,TRUE,,
Big Daddy,1999,06/25/1999 00:00,TRUE,,
Big Fish,2003,12/25/2003 00:00,TRUE,,
Big Hero 6,2014,10/24/2014 00:00,TRUE,,
Big Trouble in Little China,1986,05/30/1986 00:00,TRUE,,
Bill & Ted's Bogus Journey,1991,07/19/1991 00:00,,,
Bill & Ted's Excellent Adventure,1989,02/17/1989 00:00,TRUE,,
Bill Cosby: Himself,1983,05/20/1983 00:00,,,
Billy Madison,1995,02/10/1995 00:00,TRUE,,
Billy the Kid Versus Dracula,1966,04/10/1966 00:00,,,
Bio Hunter,1995,12/08/1995 00:00,,,
Bio-Dome,1996,01/12/1996 00:00,,,
Birdman or (The Unexpected Virtue of Ignorance),2014,10/17/2014 00:00,,,
Bitcoin: The End of Money as We Know It,2015,07/18/2015 00:00,,,
Black Beauty,1971,04/01/1971 00:00,,,
Black Beauty,1994,07/29/1994 00:00,,,
Black Christmas,2019,01/02/2019 00:00,,,
Black Christmas,2006,12/25/2006 00:00,,,
Black Christmas,1974,10/11/1974 00:00,,,
Black Hawk Down,2001,12/28/2001 00:00,TRUE,,
Black Knight,2001,11/21/2001 00:00,,,
Black Magic M-66,1987,06/28/1987 00:00,,,
Black Mask,1996,11/07/1996 00:00,,,
Black Mask 2: City of Masks,2002,12/24/2002 00:00,,,
Black Narcissus,1947,05/26/1947 00:00,,,
Black Panther,2018,02/13/2018 00:00,TRUE,,
Black Rain,1989,09/22/1989 00:00,,,
Black Rain,1989,05/13/1989 00:00,,,
Black Sheep,2007,03/29/2007 00:00,,,
Black Sheep,1996,02/01/1996 00:00,TRUE,,
Black Snake Moan,2006,12/31/2006 00:00,,,
Black Swan,2010,12/03/2010 00:00,,,
Black Widow,2021,07/07/2021 00:00,TRUE,,
Blackfish,2013,06/07/2013 00:00,,,
Blackhat,2015,01/13/2015 00:00,TRUE,,
Blade,1998,08/21/1998 00:00,TRUE,,
Blade II,2002,03/22/2002 00:00,TRUE,,
Blade Runner,1982,06/25/1982 00:00,TRUE,,
Blade Runner 2049,2017,10/04/2017 00:00,TRUE,,
Blade Runner: Black Out 2022,2017,09/26/2017 00:00,,,
Blade: Trinity,2004,12/08/2004 00:00,TRUE,,
Blades of Glory,2007,03/30/2007 00:00,TRUE,,
Blankman,1994,08/19/1994 00:00,,,
Blast from the Past,1999,02/12/1999 00:00,TRUE,,
Blaze,2018,08/17/2018 00:00,,,
